IDOMMstation;Date;Pressionauniveaumer;Variation de pression en 3 heures;Type de tendance barométrique;Directionduventmoyen10mn;Vitesseduventmoyen10mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitationsdansles3dernièresheures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteurdebase4;Coordonnees;Nom;Typedetendance barometrique;Tempspassé1;Tempspresent
81415;2018-10-28T07:00:00+01:00;101090;;8;40;2.6;297.65;297.35;98;;;;;;;;;;;99870;;;20;;296.150000;;309.150000;;;;;;;;;;;27.2;29.0;29.400000;29.4;29.4;;;;;;;;;;;;;;;;;3.640167, -54.028333;MARIPASOULA;8;;
07255;2018-10-28T16:00:00+01:00;100390;-90;5;40;4.5;279.25;277.25;87;12450;61;;;;;;;;;98380;;;-490;;;;;273.350000;;;7.900000;10.700000;-10;;0.000000;;;0.4;1.6;3.600000;4.2;4.2;;;;;;;;;;;;;;;;;47.059167, 2.359833;BOURGES;5;;61
07481;2018-10-28T16:00:00+01:00;100010;-90;6;10;1.3;281.35;278.25;81;52270;0;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;100;8;450;;;;97160;;;-580;;;;;;;;2.200000;3.400000;-10;0;0.000000;;;0.0;-0.1;-0.100000;0.2;0.2;;;;;2;;450;4;;630;8;;870;;;;45.7265, 5.077833;LYON-ST EXUPERY;6;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;0
07661;2018-10-28T16:00:00+01:00;99680;-20;5;160;1.9;287.65;286.85;95;25000;3;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;;100;8;2250;30;23;;98250;;;-170;;;;;;;;3.900000;4.800000;-10;;;;;0.0;0.0;0.000000;0.4;2.8;;;;;8;3;2100;;;;;;;;;;43.079333, 5.940833;CAP CEPET;5;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;3
07130;2018-10-28T22:00:00+01:00;101040;40;3;30;8.1;280.25;270.25;49;60000;0;;;100;8;6240;;;;100590;;;-210;;;;;279.350000;;;13.700000;14.600000;-10;;0.000000;;;0.0;0.0;0.000000;0.0;0.2;;;;;8;;6240;;;;;;;;;;48.068833, -1.734;RENNES-ST JACQUES;3;;0
07607;2018-10-28T22:00:00+01:00;100240;-50;8;240;2.0;277.55;276.95;96;11340;61;;;100;8;150;;;;99520;;;-400;;;;;280.750000;;;3.000000;3.500000;-10;;0.000000;;;0.2;0.4;2.700000;7.1;7.1;;;;;3;;150;8;;330;;;;;;;43.909833, -0.500167;MONT-DE-MARSAN;8;;61
07627;2018-10-28T22:00:00+01:00;100380;-60;7;110;1.3;273.75;272.55;92;20000;0;;;;0;;;;;95350;;;-290;;;;;275.250000;;;2.300000;5.800000;-10;5;0.000000;;;0.0;0.0;-0.100000;5.9;13.9;;;;;;;;;;;;;;;;;43.005333, 1.106833;ST GIRONS;7;;0
71805;2018-10-28T22:00:00+01:00;102340;-280;8;110;12.0;281.55;281.15;97;3000;61;Pluie;6;100;8;150;37;;;102250;;;-980;;;;;279.650000;;;18.100000;20.300000;-10;2;0.000000;0.000000;-30;1.4;6.3;7.900000;7.9;7.9;;;;;6;7;140;8;7;210;;;;;;;46.766333, -56.179167;ST-PIERRE;8;Pluie;61
07314;2018-10-29T01:00:00+01:00;100380;-20;7;20;16.7;277.85;276.35;90;4000;65;Pluie;2;100;8;450;37;;;100100;;;-520;;;;;;;;24.600000;24.600000;-10;;;;;0.4;2.4;8.300000;13.3;13.3;;;;;8;7;300;;;;;;;;;;46.046833, -1.4115;PTE DE CHASSIRON;7;Pluie;65
07027;2018-10-29T04:00:00+01:00;100950;-220;6;50;5.6;278.65;274.35;74;30130;0;;;100;8;4620;;;;100130;;;-310;;;;;276.350000;;;10.400000;10.400000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.6;;;;;8;;4620;;;;;;;;;;49.18, -0.456167;CAEN-CARPIQUET;6;;0
